date,location,new_cases,new_deaths,total_cases,total_deaths,weekly_cases,weekly_deaths,biweekly_cases,biweekly_deaths
1/23/2020,Vietnam,2,,2,,,,,
1/24/2020,Vietnam,0,,2,,,,,
1/25/2020,Vietnam,0,,2,,,,,
1/26/2020,Vietnam,0,,2,,,,,
1/27/2020,Vietnam,0,,2,,,,,
1/28/2020,Vietnam,0,,2,,2,0,,
1/29/2020,Vietnam,0,,2,,2,0,,
1/30/2020,Vietnam,0,,2,,0,0,,
1/31/2020,Vietnam,0,,2,,0,0,,
2/1/2020,Vietnam,4,,6,,4,0,,
2/2/2020,Vietnam,0,,6,,4,0,,
2/3/2020,Vietnam,2,,8,,6,0,,
2/4/2020,Vietnam,0,,8,,6,0,8,0
2/5/2020,Vietnam,0,,8,,6,0,8,0
2/6/2020,Vietnam,2,,10,,8,0,8,0
2/7/2020,Vietnam,0,,10,,8,0,8,0
2/8/2020,Vietnam,3,,13,,7,0,11,0
2/9/2020,Vietnam,0,,13,,7,0,11,0
2/10/2020,Vietnam,1,,14,,6,0,12,0
2/11/2020,Vietnam,1,,15,,7,0,13,0
2/12/2020,Vietnam,0,,15,,7,0,13,0
2/13/2020,Vietnam,1,,16,,6,0,14,0
2/14/2020,Vietnam,0,,16,,6,0,14,0
2/15/2020,Vietnam,0,,16,,3,0,10,0
2/16/2020,Vietnam,0,,16,,3,0,10,0
2/17/2020,Vietnam,0,,16,,2,0,8,0
2/18/2020,Vietnam,0,,16,,1,0,8,0
2/19/2020,Vietnam,0,,16,,1,0,8,0
2/20/2020,Vietnam,0,,16,,0,0,6,0
2/21/2020,Vietnam,0,,16,,0,0,6,0
2/22/2020,Vietnam,0,,16,,0,0,3,0
2/23/2020,Vietnam,0,,16,,0,0,3,0
2/24/2020,Vietnam,0,,16,,0,0,2,0
2/25/2020,Vietnam,0,,16,,0,0,1,0
2/26/2020,Vietnam,0,,16,,0,0,1,0
2/27/2020,Vietnam,0,,16,,0,0,0,0
2/28/2020,Vietnam,0,,16,,0,0,0,0
2/29/2020,Vietnam,0,,16,,0,0,0,0
3/1/2020,Vietnam,0,,16,,0,0,0,0
3/2/2020,Vietnam,0,,16,,0,0,0,0
3/3/2020,Vietnam,0,,16,,0,0,0,0
3/4/2020,Vietnam,0,,16,,0,0,0,0
