date,location,new_cases,new_deaths,total_cases,total_deaths,weekly_cases,weekly_deaths,biweekly_cases,biweekly_deaths
4/4/2020,United States,32390,1563,321477,11159,196464,8211,295452,10684
4/5/2020,United States,29877,1615,351354,12774,207442,9202,316456,12177
4/6/2020,United States,31393,1771,382747,14545,216760,10260,336611,13756
4/7/2020,United States,30769,2575,413516,17120,221215,11750,356761,16088
4/8/2020,United States,31215,2160,444731,19280,220171,12627,375894,17915
4/9/2020,United States,35936,2203,480667,21483,223875,13318,393974,19699
4/10/2020,United States,34414,2194,515081,23677,225994,14081,409698,21371
4/11/2020,United States,29102,2127,544183,25804,222706,14645,419170,22856
4/12/2020,United States,27257,1874,571440,27678,220086,14904,427528,24106
4/13/2020,United States,26940,2009,598380,29687,215633,15142,432393,25402
4/14/2020,United States,28825,2435,627205,32122,213689,15002,434904,26752
4/15/2020,United States,25406,2612,652611,34734,207880,15454,428051,28081
4/16/2020,United States,30015,2143,682626,36877,201959,15394,425834,28712
4/17/2020,United States,33030,2110,715656,38987,200575,15310,426569,29391
4/18/2020,United States,27932,1973,743588,40960,199405,15156,422111,29801
4/19/2020,United States,26096,1971,769684,42931,198244,15253,418330,30157
4/20/2020,United States,29828,2230,799512,45161,201132,15474,416765,30616
4/21/2020,United States,25917,2514,825429,47675,198224,15553,411913,30555
4/22/2020,United States,28859,2460,854288,50135,201677,15401,409557,30855
4/23/2020,United States,33570,2456,887858,52591,205232,15714,407191,31108
4/24/2020,United States,32327,2188,920185,54779,204529,15792,405104,31102
4/25/2020,United States,30396,1711,950581,56490,206993,15530,406398,30686
4/26/2020,United States,26501,1399,977082,57889,207398,14958,405642,30211
4/27/2020,United States,23703,1508,1000785,59397,201273,14236,402405,29710
4/28/2020,United States,24577,2224,1025362,61621,199933,13946,398157,29499
4/29/2020,United States,26438,2418,1051800,64039,197512,13904,399189,29305
4/30/2020,United States,29220,2196,1081020,66235,193162,13644,398394,29358
5/1/2020,United States,34926,1909,1115946,68144,195761,13365,400290,29157
5/2/2020,United States,27350,1731,1143296,69875,192715,13385,399708,28915
5/3/2020,United States,24297,1190,1167593,71065,190511,13176,397909,28134
5/4/2020,United States,24085,1380,1191678,72445,190893,13048,392166,27284
5/5/2020,United States,24531,2242,1216209,74687,190847,13066,390780,27012
5/6/2020,United States,24560,2314,1240769,77001,188969,12962,386481,26866
5/7/2020,United States,27411,1929,1268180,78930,187160,12695,380322,26339
5/8/2020,United States,26839,1763,1295019,80693,179073,12549,374834,25914
5/9/2020,United States,25136,1468,1320155,82161,176859,12286,369574,25671
5/10/2020,United States,18867,978,1339022,83139,171429,12074,361940,25250
5/11/2020,United States,19271,1042,1358293,84181,166615,11736,357508,24784
5/12/2020,United States,22948,1599,1381241,85780,165032,11093,355879,24159
5/13/2020,United States,20408,1727,1401649,87507,160880,10506,349849,23468
5/14/2020,United States,26818,1796,1428467,89303,160287,10373,347447,23068
5/15/2020,United States,24747,1668,1453214,90971,158195,10278,337268,22827
5/16/2020,United States,24159,1198,1477373,92169,157218,10008,334077,22294
5/17/2020,United States,18363,822,1495736,92991,156714,9852,328143,21926
5/18/2020,United States,22390,1227,1518126,94218,159833,10037,326448,21773
5/19/2020,United States,21007,1456,1539133,95674,157892,9894,322924,20987
5/20/2020,United States,22697,1501,1561830,97175,160181,9668,321061,20174
5/21/2020,United States,25766,1185,1587596,98360,159129,9057,319416,19430
5/22/2020,United States,23657,1217,1611253,99577,158039,8606,316234,18884
5/23/2020,United States,21111,1090,1632364,100667,154991,8498,312209,18506
5/24/2020,United States,20067,639,1652431,101306,156695,8315,313409,18167
5/25/2020,United States,18673,592,1671104,101898,152978,7680,312811,17717
5/26/2020,United States,19650,677,1690754,102575,151621,6901,309513,16795
5/27/2020,United States,18549,1463,1709303,104038,147473,6863,307654,16531
5/28/2020,United States,22322,1101,1731625,105139,144029,6779,303158,15836
5/29/2020,United States,24473,1133,1756098,106272,144845,6695,302884,15301
5/30/2020,United States,23633,954,1779731,107226,147367,6559,302358,15057
5/31/2020,United States,18987,615,1798718,107841,146287,6535,302982,14850
6/1/2020,United States,17436,776,1816154,108617,145050,6719,298028,14399
6/2/2020,United States,21502,981,1837656,109598,146902,7023,298523,13924
6/3/2020,United States,19855,1010,1857511,110608,148208,6570,295681,13433
6/4/2020,United States,21639,1013,1879150,111621,147525,6482,291554,13261
6/5/2020,United States,25400,891,1904550,112512,148452,6240,293297,12935
6/6/2020,United States,21160,642,1925710,113154,145979,5928,293346,12487
6/7/2020,United States,17916,459,1943626,113613,144908,5772,291195,12307
6/8/2020,United States,17637,507,1961263,114120,145109,5503,290159,12222
6/9/2020,United States,18384,913,1979647,115033,141991,5435,288893,12458
6/10/2020,United States,21110,876,2000757,115909,143246,5301,291454,11871
6/11/2020,United States,23133,830,2023890,116739,144740,5118,292265,11600
6/12/2020,United States,24866,829,2048756,117568,144206,5056,292658,11296
6/13/2020,United States,25208,735,2073964,118303,148254,5149,294233,11077
6/14/2020,United States,18948,345,2092912,118648,149286,5035,294194,10807
6/15/2020,United States,19819,396,2112731,119044,151468,4924,296577,10427
6/16/2020,United States,23670,814,2136401,119858,156754,4825,298745,10260
6/17/2020,United States,27064,739,2163465,120597,162708,4688,305954,9989
6/18/2020,United States,28526,689,2191991,121286,168101,4547,312841,9665
6/19/2020,United States,31562,629,2223553,121915,174797,4347,319003,9403
6/20/2020,United States,32270,559,2255823,122474,181859,4171,330113,9320
6/21/2020,United States,25148,317,2280971,122791,188059,4143,337345,9178
6/22/2020,United States,32152,407,2313123,123198,200392,4154,351860,9078
6/23/2020,United States,37075,748,2350198,123946,213797,4088,370551,8913
6/24/2020,United States,35876,737,2386074,124683,222609,4086,385317,8774
6/25/2020,United States,40317,537,2426391,125220,234400,3934,402501,8481
